省份,年份,月份,年月,供应链环节,样本量,均值,中位数,P75,P90,P95,最大值,lognormal_mu,lognormal_sigma,是否适合MonteCarlo模拟
浙江,2023,8,2023-08,餐饮,1,27.5,27.5,27.5,27.5,27.5,27.5,,,不适合/样本不足
浙江,2023,12,2023-12,餐饮,1,518.0,518.0,518.0,518.0,518.0,518.0,,,不适合/样本不足
浙江,2024,4,2024-04,生产,1,38.7,38.7,38.7,38.7,38.7,38.7,,,不适合/样本不足
浙江,2024,5,2024-05,餐饮,1,46.2,46.2,46.2,46.2,46.2,46.2,,,不适合/样本不足
浙江,2024,6,2024-06,流通,2,41.05,41.05,41.925,42.449999999999996,42.625,42.8,3.713881310731483,0.060325813570460275,不适合/样本不足
浙江,2024,7,2024-07,流通,1,77.0,77.0,77.0,77.0,77.0,77.0,,,不适合/样本不足
浙江,2024,11,2024-11,生产,1,50.3,50.3,50.3,50.3,50.3,50.3,,,不适合/样本不足
海南,2024,4,2024-04,餐饮,1,281.0,281.0,281.0,281.0,281.0,281.0,,,不适合/样本不足
海南,2024,5,2024-05,生产,1,59.0,59.0,59.0,59.0,59.0,59.0,,,不适合/样本不足
海南,2024,7,2024-07,餐饮,1,38.2,38.2,38.2,38.2,38.2,38.2,,,不适合/样本不足
湖北,2023,12,2023-12,餐饮,1,25.6,25.6,25.6,25.6,25.6,25.6,,,不适合/样本不足
湖北,2024,1,2024-01,餐饮,1,51.8,51.8,51.8,51.8,51.8,51.8,,,不适合/样本不足
湖北,2024,11,2024-11,餐饮,2,65.1,65.1,67.7,69.25999999999999,69.78,70.3,4.172724151969011,0.11320446780793902,不适合/样本不足
湖北,2024,12,2024-12,餐饮,2,258.5,258.5,275.75,286.1,289.55,293.0,5.545909330436054,0.18987694949794717,不适合/样本不足
湖南,2024,4,2024-04,生产,1,27.7,27.7,27.7,27.7,27.7,27.7,,,不适合/样本不足
湖南,2024,10,2024-10,生产,2,53.4,53.4,57.099999999999994,59.32,60.059999999999995,60.8,3.968115592730608,0.19724629992583445,不适合/样本不足
甘肃,2024,3,2024-03,餐饮,2,56.2,56.2,66.2,72.2,74.2,76.2,3.961210290762163,0.5263012345970662,不适合/样本不足
甘肃,2024,5,2024-05,餐饮,1,64.4,64.4,64.4,64.4,64.4,64.4,,,不适合/样本不足
甘肃,2024,12,2024-12,餐饮,1,261.0,261.0,261.0,261.0,261.0,261.0,,,不适合/样本不足
福建,2024,1,2024-01,流通,3,179.66666666666666,176.0,213.5,236.0,243.5,251.0,5.138145268488343,0.4044478480913114,可探索但样本偏少
福建,2024,9,2024-09,生产,1,56.7,56.7,56.7,56.7,56.7,56.7,,,不适合/样本不足
贵州,2023,10,2023-10,餐饮,4,183.2,144.0,207.25,294.1,323.04999999999995,352.0,5.080698605493039,0.5670656801722962,可探索但样本偏少
贵州,2023,12,2023-12,流通,1,4.6,4.6,4.6,4.6,4.6,4.6,,,不适合/样本不足
贵州,2023,12,2023-12,餐饮,1,95.1,95.1,95.1,95.1,95.1,95.1,,,不适合/样本不足
贵州,2024,3,2024-03,流通,1,91.0,91.0,91.0,91.0,91.0,91.0,,,不适合/样本不足
贵州,2024,10,2024-10,餐饮,2,68.05,68.05,85.025,95.21000000000001,98.60499999999999,102.0,4.07713509878687,0.7747595258217024,不适合/样本不足
贵州,2024,11,2024-11,流通,1,43.5,43.5,43.5,43.5,43.5,43.5,,,不适合/样本不足
贵州,2024,12,2024-12,餐饮,5,89.9,78.8,144.0,144.0,144.0,144.0,4.347366330938394,0.6329370314865023,可探索但样本偏少
陕西,2024,8,2024-08,餐饮,1,37.1,37.1,37.1,37.1,37.1,37.1,,,不适合/样本不足
陕西,2024,12,2024-12,餐饮,3,31.96666666666667,24.3,36.45,43.74,46.17,48.6,3.403198032394034,0.4169679286131591,可探索但样本偏少
黑龙江,2024,8,2024-08,流通,1,44.9,44.9,44.9,44.9,44.9,44.9,,,不适合/样本不足
