省份,年月,供应链环节,Q_action_0,Q_action_1,Q_action_3,Q_action_5,Q_action_10,experimental_label
云南,2023-08,餐饮,0.28380224,0.20174548,-0.019084722,-0.19965571,-0.6881675,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2023-09,餐饮,0.270176,0.175248,-0.030845374,-0.21118076,-0.7210348,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2023-10,餐饮,0.30102363,0.19893904,0.00034074485,-0.18363565,-0.6870816,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2023-11,餐饮,0.34097153,0.25096866,0.040762305,-0.14716145,-0.65018064,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2023-12,餐饮,0.31425777,0.40717384,0.4118598,0.34037077,0.0019868612,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2024-04,餐饮,0.34353828,0.4201876,0.4302628,0.34879214,-0.0017439127,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2024-05,餐饮,0.26141164,0.17940092,-0.03897707,-0.21635972,-0.70166534,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2024-06,餐饮,0.35051122,0.26838875,0.055388868,-0.122940935,-0.61389387,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2024-07,餐饮,0.30395278,0.21125951,0.0084472895,-0.17313671,-0.6832813,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2024-08,餐饮,0.2680652,0.18656977,-0.036450267,-0.21605907,-0.7045405,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2024-09,餐饮,0.25712916,0.17296445,-0.04583478,-0.2271591,-0.7157612,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2024-10,餐饮,0.31032506,0.21835542,0.010169283,-0.17052267,-0.66349196,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2024-11,餐饮,0.3067388,0.20571452,0.0065766424,-0.17161942,-0.6752986,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2024-12,餐饮,0.33027205,0.23119102,0.029241681,-0.15011147,-0.64425087,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
内蒙古,2023-02,流通,0.310019,0.38589153,0.37588692,0.276876,-0.057293594,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
内蒙古,2023-03,流通,0.33420035,0.28507668,0.1590294,-0.005962452,-0.44031346,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
内蒙古,2023-04,流通,0.35655773,0.3004166,0.16671486,0.0050988775,-0.4451016,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
内蒙古,2023-05,流通,0.3271019,0.2554943,0.059811354,-0.08186231,-0.5797285,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
内蒙古,2023-06,流通,0.3329177,0.24421462,0.06517795,-0.09375811,-0.59707385,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
内蒙古,2023-07,流通,0.2720385,0.19286712,0.0032286048,-0.15862162,-0.66177285,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
内蒙古,2023-08,流通,0.28701144,0.19595954,0.017684162,-0.14858025,-0.6559714,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
内蒙古,2023-09,流通,0.31424087,0.22415695,0.04395467,-0.12757513,-0.6277369,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
内蒙古,2023-10,流通,0.34153628,0.24359763,0.07028425,-0.101175286,-0.6044569,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
内蒙古,2023-11,流通,0.32020444,0.22217593,0.0504483,-0.1228723,-0.62665796,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
内蒙古,2023-12,流通,0.3148965,0.2222873,0.045909256,-0.13089603,-0.6353096,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
内蒙古,2024-01,流通,0.3081422,0.21760252,0.048451036,-0.138417,-0.638025,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
内蒙古,2024-02,流通,0.32014334,0.39690214,0.3872009,0.29301122,-0.041760564,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
内蒙古,2024-03,流通,0.3192924,0.22611886,0.05517733,-0.104062475,-0.6080337,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
内蒙古,2024-04,流通,0.32558933,0.23165578,0.059704274,-0.100840636,-0.60565525,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
内蒙古,2024-05,流通,0.31860143,0.2239646,0.054154098,-0.10638208,-0.61102974,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
内蒙古,2024-06,流通,0.32454258,0.22945106,0.058808804,-0.10286642,-0.6077419,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
内蒙古,2024-07,流通,0.33615312,0.23990026,0.067389786,-0.098328866,-0.60387295,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
内蒙古,2024-08,流通,0.32638055,0.2278539,0.058634758,-0.10948128,-0.6144693,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
内蒙古,2024-09,流通,0.32544202,0.22538137,0.058647424,-0.11092938,-0.6152601,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
内蒙古,2024-10,流通,0.28700662,0.19271314,0.016290158,-0.15802872,-0.6641472,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
内蒙古,2024-11,流通,0.31202647,0.21435058,0.046802104,-0.13873336,-0.6407891,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
内蒙古,2024-12,流通,0.36682588,0.26916504,0.11270699,-0.0862133,-0.5793749,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
内蒙古,2023-04,生产,0.310019,0.38589153,0.37588692,0.276876,-0.057293594,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
内蒙古,2023-10,生产,0.333621,0.35189283,0.2855256,0.15541023,-0.22751056,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
内蒙古,2023-11,生产,0.34056908,0.321041,0.22087644,0.071893804,-0.34112072,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
内蒙古,2023-12,生产,0.33027852,0.2967705,0.18476821,0.027635444,-0.3946813,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
内蒙古,2024-02,生产,0.32502794,0.2808531,0.16020034,-0.0025565336,-0.43189412,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
内蒙古,2024-07,生产,0.33615568,0.28534997,0.15812089,-0.007288877,-0.44281873,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
