省份,年份,月份,年月,供应链环节,EDI记录数,EDI均值,EDI中位数,EDI_P95,MOE_default_均值,MOE_default_中位数,MOE_default_最小值,低于MOE阈值记录数,MOE风险惩罚项_均值,低于MOE阈值比例,MOE风险等级_主导
山西,2024,11,2024-11,餐饮,1,0.000505,0.000505,0.000505,207.9207920792079,207.9207920792079,207.9207920792079,1,0.9342022809875925,1.0,低于阈值/需关注
山西,2024,12,2024-12,餐饮,1,0.0015216666666666666,0.0015216666666666666,0.0015216666666666666,69.00328587075575,69.00328587075575,69.00328587075575,1,0.9781635171295077,1.0,低于阈值/需关注
广东,2023,3,2023-03,流通,1,0.0019507499999999998,0.0019507499999999998,0.0019507499999999998,53.825451749327186,53.825451749327186,53.825451749327186,1,0.9829666291932508,1.0,低于阈值/需关注
广东,2023,3,2023-03,生产,1,0.0021675,0.0021675,0.0021675,48.442906574394456,48.442906574394456,48.442906574394456,1,0.9846699662739259,1.0,低于阈值/需关注
广东,2023,7,2023-07,生产,3,0.0010214166666666666,0.0013514999999999998,0.001531275,265.1778672046147,77.6914539400666,67.68734891216761,3,0.9160829534162612,1.0,低于阈值/需关注
广东,2023,8,2023-08,流通,1,0.0016532499999999998,0.0016532499999999998,0.0016532499999999998,63.51126568879481,63.51126568879481,63.51126568879481,1,0.9799014981997484,1.0,低于阈值/需关注
广东,2023,8,2023-08,生产,1,1.16875e-06,1.16875e-06,1.16875e-06,89839.57219251337,89839.57219251337,89839.57219251337,0,0.0,0.0,高于阈值/低关注
广东,2023,11,2023-11,流通,1,0.00132175,0.00132175,0.00132175,79.4401361830906,79.4401361830906,79.4401361830906,1,0.9748607163977562,1.0,低于阈值/需关注
广东,2023,11,2023-11,生产,1,0.0014279999999999998,0.0014279999999999998,0.0014279999999999998,73.52941176470588,73.52941176470588,73.52941176470588,1,0.9767311988086373,1.0,低于阈值/需关注
广东,2023,12,2023-12,流通,3,0.0017509999999999997,0.00172975,0.0020510499999999996,61.371406488491395,60.70241364359011,50.31747933389242,3,0.9805786688327558,1.0,低于阈值/需关注
广东,2024,1,2024-01,生产,1,0.0029877499999999995,0.0029877499999999995,0.0029877499999999995,35.1435026357627,35.1435026357627,35.1435026357627,1,0.9888786384064042,1.0,低于阈值/需关注
广东,2024,1,2024-01,餐饮,1,0.0016064999999999999,0.0016064999999999999,0.0016064999999999999,65.35947712418302,65.35947712418302,65.35947712418302,1,0.9793166211632333,1.0,低于阈值/需关注
广东,2024,2,2024-02,生产,2,0.0022312499999999997,0.0022312499999999997,0.0024071999999999995,47.42289370841222,47.42289370841222,43.26774492634182,2,0.9849927551555657,1.0,低于阈值/需关注
广东,2024,4,2024-04,生产,1,0.00136425,0.00136425,0.00136425,76.96536558548652,76.96536558548652,76.96536558548652,1,0.9756438716501625,1.0,低于阈值/需关注
广东,2024,5,2024-05,餐饮,1,0.00322575,0.00322575,0.00322575,32.55056963496861,32.55056963496861,32.55056963496861,1,0.989699186824377,1.0,低于阈值/需关注
广东,2024,6,2024-06,餐饮,1,0.002159,0.002159,0.002159,48.633626679018064,48.633626679018064,48.633626679018064,1,0.9846096118104373,1.0,低于阈值/需关注
广东,2024,7,2024-07,生产,1,0.0026095,0.0026095,0.0026095,40.237593408698984,40.237593408698984,40.237593408698984,1,0.9872665843643358,1.0,低于阈值/需关注
广东,2024,8,2024-08,生产,4,0.002118625,0.0021313749999999996,0.0026245875,51.83975414717325,50.041196142102464,39.403321137067266,4,0.9835950145103882,1.0,低于阈值/需关注
广东,2024,9,2024-09,生产,1,0.00155975,0.00155975,0.00155975,67.31848052572528,67.31848052572528,67.31848052572528,1,0.978696683377935,1.0,低于阈值/需关注
广东,2024,10,2024-10,生产,1,0.0046324999999999995,0.0046324999999999995,0.0046324999999999995,22.66594711279007,22.66594711279007,22.66594711279007,1,0.9928272319263323,1.0,低于阈值/需关注
广东,2024,10,2024-10,餐饮,1,0.0012962499999999999,0.0012962499999999999,0.0012962499999999999,81.00289296046287,81.00289296046287,81.00289296046287,1,0.9743661731137776,1.0,低于阈值/需关注
广东,2024,12,2024-12,生产,1,0.00187,0.00187,0.00187,56.149732620320854,56.149732620320854,56.149732620320854,1,0.9822310972720504,1.0,低于阈值/需关注
广西,2023,3,2023-03,生产,5,0.0014508399999999997,0.0006624000000000001,0.003696559999999999,277.82533960056355,158.51449275362316,25.222195532068223,5,0.9120805887339989,1.0,低于阈值/需关注
广西,2023,4,2023-04,生产,5,0.00097658,0.0007866,0.00146648,117.3019018244111,133.48588863463004,66.93867142674996,5,0.9628791449922749,1.0,低于阈值/需关注
广西,2023,5,2023-05,生产,3,0.0009160899999999999,0.0007337,0.0012779029999999997,125.614469175203,143.11026305029304,78.45364136972587,3,0.9602485857040497,1.0,低于阈值/需关注
广西,2023,6,2023-06,生产,1,0.0006279,0.0006279,0.0006279,167.22408026755852,167.22408026755852,167.22408026755852,1,0.9470809872571017,1.0,低于阈值/需关注
广西,2023,7,2023-07,生产,3,0.0007490333333333333,0.0007589999999999999,0.0008148900000000001,141.21281605186712,138.33992094861662,127.87723785166239,3,0.9553123999835864,1.0,低于阈值/需关注
广西,2023,8,2023-08,流通,1,0.0006279,0.0006279,0.0006279,167.22408026755852,167.22408026755852,167.22408026755852,1,0.9470809872571017,1.0,低于阈值/需关注
广西,2023,8,2023-08,生产,4,0.0006003,0.0005957,0.00062215,175.03639644728102,176.28687147361433,167.8388746803069,4,0.9446087353014934,1.0,低于阈值/需关注
广西,2023,9,2023-09,流通,5,0.0010906599999999998,0.0009314999999999999,0.0017070599999999996,110.51986285308172,112.72141706924316,58.08164619980087,5,0.9650253598566196,1.0,低于阈值/需关注
广西,2023,9,2023-09,生产,1,0.001058,0.001058,0.001058,99.24385633270322,99.24385633270322,99.24385633270322,1,0.9685937163504104,1.0,低于阈值/需关注
广西,2023,10,2023-10,流通,5,0.00075808,0.000736,0.0009360999999999999,142.81175561566025,142.66304347826087,110.00523834468308,5,0.9548064064507404,1.0,低于阈值/需关注
广西,2023,10,2023-10,生产,4,0.000832025,0.00071415,0.00113873,133.3241283875482,147.1656976744186,86.79120515787733,4,0.9578088201305227,1.0,低于阈值/需关注
