源文件路径,目标文件路径,操作,说明,是否canonical副本,时间
outputs/20260424_MOE_EDI外部参数匹配与风险度量准备/figures/consumption_parameter_distribution.svg,outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/03_图表输出/consumption_parameter_distribution.svg,copy,from legacy output dir outputs/20260424_MOE_EDI外部参数匹配与风险度量准备,False,2026-04-24T23:56:53
outputs/20260424_MOE_EDI外部参数匹配与风险度量准备/figures/edi_distribution.svg,outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/03_图表输出/edi_distribution.svg,copy,from legacy output dir outputs/20260424_MOE_EDI外部参数匹配与风险度量准备,False,2026-04-24T23:56:53
outputs/20260424_MOE_EDI外部参数匹配与风险度量准备/figures/moe_distribution_log10.svg,outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/03_图表输出/moe_distribution_log10.svg,copy,from legacy output dir outputs/20260424_MOE_EDI外部参数匹配与风险度量准备,False,2026-04-24T23:56:53
outputs/20260424_MOE_EDI外部参数匹配与风险度量准备/figures/moe_risk_level_distribution.svg,outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/03_图表输出/moe_risk_level_distribution.svg,copy,from legacy output dir outputs/20260424_MOE_EDI外部参数匹配与风险度量准备,False,2026-04-24T23:56:53
outputs/20260424_MOE_EDI外部参数匹配与风险度量准备/figures/population_matching_status.svg,outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/03_图表输出/population_matching_status.svg,copy,from legacy output dir outputs/20260424_MOE_EDI外部参数匹配与风险度量准备,False,2026-04-24T23:56:53
outputs/20260424_MOE_EDI外部参数匹配与风险度量准备/figures/province_moe_risk_ranking.svg,outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/03_图表输出/province_moe_risk_ranking.svg,copy,from legacy output dir outputs/20260424_MOE_EDI外部参数匹配与风险度量准备,False,2026-04-24T23:56:53
outputs/20260424_MOE_EDI外部参数匹配与风险度量准备/tables/peanut_bmdl_parameter_table.csv,outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/02_表格输出/peanut_bmdl_parameter_table.csv,copy,from legacy output dir outputs/20260424_MOE_EDI外部参数匹配与风险度量准备,False,2026-04-24T23:56:53
outputs/20260424_MOE_EDI外部参数匹配与风险度量准备/tables/peanut_consumption_parameter_table.csv,outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/02_表格输出/peanut_consumption_parameter_table.csv,copy,from legacy output dir outputs/20260424_MOE_EDI外部参数匹配与风险度量准备,False,2026-04-24T23:56:53
outputs/20260424_MOE_EDI外部参数匹配与风险度量准备/tables/peanut_edi_moe_risk_summary.csv,outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/02_表格输出/peanut_edi_moe_risk_summary.csv,copy,from legacy output dir outputs/20260424_MOE_EDI外部参数匹配与风险度量准备,False,2026-04-24T23:56:53
outputs/20260424_MOE_EDI外部参数匹配与风险度量准备/tables/peanut_population_parameter_table.csv,outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/02_表格输出/peanut_population_parameter_table.csv,copy,from legacy output dir outputs/20260424_MOE_EDI外部参数匹配与风险度量准备,False,2026-04-24T23:56:53
outputs/20260424_MOE_EDI外部参数匹配与风险度量准备,archive/legacy_outputs_after_run_package_restructure/20260424_MOE_EDI外部参数匹配与风险度量准备,move,legacy top-level output directory moved after copying into run package,False,2026-04-24T23:56:53
reports/latest/project_whole_workspace_organization_report.md,outputs/工作包/20260424_2244_全工作目录整理与规范化/04_报告输出/project_whole_workspace_organization_report.md,copy,historical package: 全工作目录整理与规范化,False,2026-04-24T23:56:53
outputs/20260424_全工作目录整理与规范化/README.md,outputs/工作包/20260424_2244_全工作目录整理与规范化/04_报告输出/README.md,copy,from legacy output dir outputs/20260424_全工作目录整理与规范化,False,2026-04-24T23:56:53
outputs/20260424_全工作目录整理与规范化/logs/organization_actions.csv,outputs/工作包/20260424_2244_全工作目录整理与规范化/02_表格输出/organization_actions.csv,copy,from legacy output dir outputs/20260424_全工作目录整理与规范化,False,2026-04-24T23:56:53
